L 608794(set 28 of 32),4 hit 
L 608798(set 28 of 32),4 hit 
L 60879c(set 28 of 32),4 hit 
L 6087a0(set 29 of 32),4 miss eviction 
L 6087a4(set 29 of 32),4 hit 
S 649058(set 2 of 32),4 hit 
S 64914c(set 10 of 32),4 hit 
S 649240(set 18 of 32),4 miss eviction 
S 649334(set 25 of 32),4 hit 
S 649428(set 1 of 32),4 hit 
S 64951c(set 8 of 32),4 hit 
S 649610(set 16 of 32),4 hit 
S 649704(set 24 of 32),4 hit 
L 608894(set 4 of 32),4 miss eviction 
L 608898(set 4 of 32),4 hit 
L 60889c(set 4 of 32),4 hit 
L 6088a0(set 5 of 32),4 miss eviction 
L 6088a4(set 5 of 32),4 hit 
L 6088a8(set 5 of 32),4 hit 
L 6088ac(set 5 of 32),4 hit 
L 6088b0(set 5 of 32),4 hit 
S 64905c(set 2 of 32),4 hit 
S 649150(set 10 of 32),4 hit 
S 649244(set 18 of 32),4 hit 
S 649338(set 25 of 32),4 hit 
S 64942c(set 1 of 32),4 hit 
S 649520(set 9 of 32),4 miss eviction 
S 649614(set 16 of 32),4 hit 
S 649708(set 24 of 32),4 hit 
L 608160(set 11 of 32),4 miss eviction 
L 608164(set 11 of 32),4 hit 
L 608168(set 11 of 32),4 hit 
L 60816c(set 11 of 32),4 hit 
L 608170(set 11 of 32),4 hit 
L 608174(set 11 of 32),4 hit 
L 608178(set 11 of 32),4 hit 
L 60817c(set 11 of 32),4 hit 
S 6497e0(set 31 of 32),4 miss eviction 
S 6498d4(set 6 of 32),4 miss eviction 
S 6499c8(set 14 of 32),4 miss eviction 
S 649abc(set 21 of 32),4 miss eviction 
S 649bb0(set 29 of 32),4 miss eviction 
S 649ca4(set 5 of 32),4 miss eviction 
S 649d98(set 12 of 32),4 miss eviction 
S 649e8c(set 20 of 32),4 miss eviction 
L 60826c(set 19 of 32),4 miss eviction 
L 608270(set 19 of 32),4 hit 
L 608274(set 19 of 32),4 hit 
L 608278(set 19 of 32),4 hit 
L 60827c(set 19 of 32),4 hit 
L 608280(set 20 of 32),4 miss eviction 
L 608284(set 20 of 32),4 hit 
L 608288(set 20 of 32),4 hit 
S 6497e4(set 31 of 32),4 hit 
S 6498d8(set 6 of 32),4 hit 
S 6499cc(set 14 of 32),4 hit 
S 649ac0(set 22 of 32),4 miss eviction 
S 649bb4(set 29 of 32),4 hit 
